"Date","Gewicht (kg)","Kommentare"
"2015-04-19 11:43 Uhr","5.89",""
"2015-04-17 8:20 Uhr","5.84",""
"2015-04-16 21:41 Uhr","5.73",""
"2015-04-14 19:33 Uhr","5.75",""
"2015-04-11 15:29 Uhr","5.68",""
"2015-04-10 10:12 Uhr","5.15",""
"2015-04-05 17:53 Uhr","4.8","Comment_by_antonina"
"2015-03-31 16:10 Uhr","4.77",""
"2015-03-28 13:25 Uhr","5.01",""
"2015-03-20 17:23 Uhr","5.2","Comment"
"2015-03-15 17:16 Uhr","5.08","after doctor visite"
"2015-03-10 17:17 Uhr","5.12",""
"2015-03-06 17:16 Uhr","5.15",""
"2015-03-02 17:15 Uhr","4.97",""
"2015-02-27 17:12 Uhr","4.83",""
"2015-02-19 17:10 Uhr","4.7",""
"2015-02-08 17:09 Uhr","4.6",""
"2015-02-06 21:45 Uhr","4.47",""
"2015-01-30 22:02 Uhr","4.4",""
"2015-01-23 17:26 Uhr","4",""
"2015-01-21 22:02 Uhr","3.84",""
"2015-01-12 21:59 Uhr","3.58",""
"2015-01-08 22:01 Uhr","3.44",""